entity,coupled,degree,average-revs
app/views/devise/confirmations/new.html.erb,app/views/devise/passwords/new.html.erb,90,6
app/views/devise/confirmations/new.html.erb,app/views/devise/unlocks/new.html.erb,85,7
app/views/admin/events/_action_page_events.html.erb,app/views/admin/events/_events.html.erb,80,10
app/views/devise/passwords/new.html.erb,app/views/devise/unlocks/new.html.erb,76,7
Gemfile,Gemfile.lock,72,59
app/controllers/congress_messages_controller.rb,spec/requests/congress_messages_spec.rb,61,26
app/controllers/admin/events_controller.rb,app/models/ahoy/event.rb,59,22
app/models/congress_message.rb,spec/requests/congress_messages_spec.rb,58,17
app/views/admin/action_pages/events.html.erb,app/views/admin/events/index.html.erb,58,9
lib/action_cloner.rb,spec/lib/action_cloner_spec.rb,57,14
app/controllers/admin/petitions_controller.rb,app/views/admin/petitions/show.html.erb,52,10
lib/congress_forms.rb,spec/lib/congress_forms_spec.rb,50,16
features/action_page/congress_message.feature,features/step_definitions/action_page_steps.rb,50,10
app/controllers/congress_messages_controller.rb,app/models/congress_message.rb,48,25
config/locales/en.yml,config/locales/es.yml,48,13
app/controllers/admin/events_controller.rb,app/views/admin/events/table.html.erb,46,15
spec/lib/congress_forms_spec.rb,spec/requests/congress_messages_spec.rb,46,15
app/views/tools/_email.html.erb,app/views/tools/_petition.html.erb,44,32
app/controllers/registrations_controller.rb,features/users/register.feature,43,12
app/views/admin/action_pages/homepage.html.erb,app/views/admin/action_pages/index.html.erb,43,12
app/controllers/admin/events_controller.rb,spec/requests/admin/events_spec.rb,42,19
app/controllers/action_page_controller.rb,spec/controllers/action_page_controller_spec.rb,40,30
app/assets/stylesheets/admin.scss,app/assets/stylesheets/admin/mixins.scss,38,16
lib/congress_forms.rb,spec/requests/congress_messages_spec.rb,36,19
app/views/tools/_email_signup_radios.html.erb,app/views/tools/_newsletter_signup.html.erb,35,14
app/models/congress_message.rb,spec/lib/congress_forms_spec.rb,35,14
app/assets/javascripts/admin/action_pages.js,app/assets/stylesheets/admin/action_pages.scss,34,18
app/helpers/congress_message_helper.rb,spec/requests/congress_messages_spec.rb,34,18
app/assets/stylesheets/welcome.scss,app/views/welcome/index.html.erb,33,42
app/models/congress_message.rb,lib/congress_forms.rb,33,18
app/controllers/admin/events_controller.rb,app/controllers/concerns/date_range.rb,33,15
app/models/ahoy/event.rb,app/views/admin/events/table.html.erb,33,15
app/assets/stylesheets/admin.scss,app/assets/stylesheets/admin/action_pages.scss,32,19
docker-compose.yml.example,docker/entrypoint.sh,32,16
app/views/tools/_call.html.erb,app/views/tools/_email.html.erb,31,32
app/controllers/congress_messages_controller.rb,app/helpers/congress_message_helper.rb,31,26
app/views/congress_messages/_form.html.erb,spec/requests/congress_messages_spec.rb,31,22
app/models/ahoy/event.rb,spec/requests/admin/events_spec.rb,31,19
app/controllers/admin/events_controller.rb,app/views/admin/action_pages/events.html.erb,31,16
app/models/user.rb,spec/models/user_spec.rb,31,16
